"member_casual","start_hour","count"
"casual",0,"34064"
"casual",1,"22512"
"casual",2,"13840"
"casual",3,"7729"
"casual",4,"5707"
"casual",5,"10918"
"casual",6,"27133"
"casual",7,"49423"
"casual",8,"68008"
"casual",9,"68732"
"casual",10,"86140"
"casual",11,"109696"
"casual",12,"130577"
"casual",13,"135291"
"casual",14,"139678"
"casual",15,"154356"
"casual",16,"176172"
"casual",17,"190481"
"casual",18,"164539"
"casual",19,"120876"
"casual",20,"88429"
"casual",21,"72526"
"casual",22,"64218"
"casual",23,"44613"
"member",0,"33716"
"member",1,"20087"
"member",2,"11600"
"member",3,"7820"
"member",4,"8714"
"member",5,"33636"
"member",6,"103044"
"member",7,"191635"
"member",8,"240428"
"member",9,"164271"
"member",10,"147433"
"member",11,"174526"
"member",12,"199327"
"member",13,"198714"
"member",14,"199597"
"member",15,"243617"
"member",16,"328223"
"member",17,"382185"
"member",18,"300629"
"member",19,"211271"
"member",20,"148925"
"member",21,"114392"
"member",22,"84473"
"member",23,"52910"
