"member_casual","start_station_name","count_station"
"casual","Streeter Dr & Grand Ave","46511"
"casual","DuSable Lake Shore Dr & Monroe St","31563"
"casual","Michigan Ave & Oak St","22958"
"casual","DuSable Lake Shore Dr & North Blvd","20994"
"casual","Millennium Park","19811"
"casual","Shedd Aquarium","18661"
"casual","Dusable Harbor","16424"
"casual","Theater on the Lake","16200"
"casual","Adler Planetarium","12645"
"casual","Indiana Ave & Roosevelt Rd","11965"
"casual","Montrose Harbor","11933"
"casual","Michigan Ave & 8th St","11900"
"casual","Wells St & Concord Ln","11024"
"casual","Clark St & Elm St","10469"
"casual","Clark St & Armitage Ave","10383"
"casual","Clark St & Lincoln Ave","10275"
"casual","Wabash Ave & Grand Ave","9775"
"casual","Wells St & Elm St","9729"
"casual","Wilton Ave & Belmont Ave","9586"
"casual","Michigan Ave & Washington St","9182"
"casual","New St & Illinois St","9125"
"casual","DuSable Lake Shore Dr & Diversey Pkwy","8904"
"casual","LaSalle St & Illinois St","8828"
"casual","Kingsbury St & Kinzie St","8635"
"casual","DuSable Lake Shore Dr & Belmont Ave","8589"
"casual","Clark St & Newport St","8587"
"casual","McClurg Ct & Ohio St","8575"
"casual","Broadway & Barry Ave","8344"
"casual","Michigan Ave & Lake St","8264"
"casual","Field Museum","8052"
"casual","Sheffield Ave & Fullerton Ave","7824"
"casual","Sheffield Ave & Waveland Ave","7789"
"casual","Larrabee St & Webster Ave","7652"
"casual","Wells St & Huron St","7583"
"casual","Clark St & Wrightwood Ave","7568"
"casual","DuSable Lake Shore Dr & Wellington Ave","7559"
"casual","Lakeview Ave & Fullerton Pkwy","7476"
"casual","Lincoln Park Conservatory","7442"
"casual","Dearborn St & Erie St","7416"
"casual","Columbus Dr & Randolph St","7354"
"casual","Wells St & Evergreen Ave","7353"
"casual","Wells St & Hubbard St","7254"
"casual","Desplaines St & Kinzie St","7150"
"casual","Halsted St & Roscoe St","7140"
"casual","Broadway & Cornelia Ave","7048"
"casual","Lincoln Ave & Fullerton Ave","6836"
"casual","State St & Chicago Ave","6750"
"casual","Ellis Ave & 60th St","6690"
"casual","Wabash Ave & Roosevelt Rd","6660"
"casual","Fairbanks Ct & Grand Ave","6629"
"casual","Dearborn Pkwy & Delaware Pl","6607"
"casual","Sheffield Ave & Wrightwood Ave","6596"
"casual","Ashland Ave & Division St","6559"
"casual","Halsted St & Wrightwood Ave","6551"
"casual","Southport Ave & Roscoe St","6527"
"casual","Michigan Ave & Jackson Blvd","6452"
"casual","Pine Grove Ave & Waveland Ave","6398"
"casual","Clark St & Drummond Pl","6385"
"casual","University Ave & 57th St","6309"
"casual","Damen Ave & Pierce Ave","6272"
"casual","Clinton St & Madison St","6240"
"casual","State St & Randolph St","6210"
"casual","Halsted St & Clybourn Ave","6177"
"casual","Broadway & Waveland Ave","6122"
"casual","Clinton St & Washington Blvd","6119"
"casual","Wabash Ave & Wacker Pl","6093"
"casual","Stockton Dr & Wrightwood Ave","6088"
"casual","Halsted St & Fulton St","6048"
"casual","Southport Ave & Waveland Ave","6038"
"casual","Cityfront Plaza Dr & Pioneer Ct","5999"
"casual","Mies van der Rohe Way & Chestnut St","5861"
"casual","Sheffield Ave & Webster Ave","5794"
"casual","Clark St & Grace St","5739"
"casual","Buckingham Fountain","5738"
"casual","Clark St & Schiller St","5733"
"casual","Lakefront Trail & Bryn Mawr Ave","5682"
"casual","Orleans St & Merchandise Mart Plaza","5607"
"casual","Daley Center Plaza","5574"
"casual","St. Clair St & Erie St","5443"
"casual","Franklin St & Jackson Blvd","5371"
"casual","Clinton St & Jackson Blvd","5352"
"casual","Sheridan Rd & Irving Park Rd","5351"
"casual","Ellis Ave & 55th St","5317"
"casual","Field Blvd & South Water St","5313"
"casual","Federal St & Polk St","5302"
"casual","Sheffield Ave & Wellington Ave","5295"
"casual","Dearborn St & Monroe St","5264"
"casual","Clark St & Lake St","5231"
"casual","Broadway & Belmont Ave","5223"
"casual","Green St & Madison St","5218"
"casual","Wilton Ave & Diversey Pkwy","5194"
"casual","State St & Kinzie St","5187"
"casual","Ravenswood Ave & Lawrence Ave","5184"
"casual","Clark St & Wellington Ave","5176"
"casual","Rush St & Cedar St","5162"
"casual","Clark St & Winnemac Ave","5125"
"casual","Sedgwick St & North Ave","5090"
"casual","Milwaukee Ave & Grand Ave","5069"
"casual","Halsted St & Dickens Ave","5032"
"casual","Shore Dr & 55th St","5032"
"casual","Canal St & Madison St","4978"
"casual","Michigan Ave & Pearson St","4931"
"casual","Wabash Ave & 9th St","4924"
"casual","Pine Grove Ave & Irving Park Rd","4910"
"casual","McCormick Place","4909"
"casual","Canal St & Adams St","4895"
"casual","McClurg Ct & Erie St","4884"
"casual","Racine Ave & Belmont Ave","4858"
"casual","Clark St & North Ave","4830"
"casual","Sedgwick St & Webster Ave","4821"
"casual","Broadway & Sheridan Rd","4808"
"casual","Kingsbury St & Erie St","4775"
"casual","Larrabee St & Kingsbury St","4768"
"casual","Clinton St & Lake St","4753"
"casual","Rush St & Superior St","4751"
"casual","Kedzie Ave & Milwaukee Ave","4737"
"casual","Southport Ave & Wellington Ave","4679"
"casual","California Ave & Milwaukee Ave","4651"
"casual","Kimbark Ave & 53rd St","4596"
"casual","Sheridan Rd & Montrose Ave","4456"
"casual","Franklin St & Lake St","4425"
"casual","Mies van der Rohe Way & Chicago Ave","4398"
"casual","Lakefront Trail & Wilson Ave","4389"
"casual","Franklin St & Illinois St","4375"
"casual","Lincoln Ave & Diversey Pkwy","4342"
"casual","Ogden Ave & Chicago Ave","4273"
"casual","Michigan Ave & 14th St","4235"
"casual","Ritchie Ct & Banks St","4235"
"casual","LaSalle Dr & Huron St","4207"
"casual","Clarendon Ave & Gordon Ter","4180"
"casual","Michigan Ave & Madison St","4138"
"casual","Dayton St & North Ave","4112"
"casual","Broadway & Wilson Ave","4086"
"casual","Burnham Harbor","4044"
"casual","Damen Ave & Cortland St","4042"
"casual","Michigan Ave & Ida B Wells Dr","4041"
"casual","Wood St & Milwaukee Ave","4036"
"casual","Peoria St & Jackson Blvd","3940"
"casual","Clark St & Berwyn Ave","3923"
"casual","Aberdeen St & Jackson Blvd","3871"
"casual","Southport Ave & Belmont Ave","3824"
"casual","Southport Ave & Wrightwood Ave","3824"
"casual","Sedgwick St & Huron St","3820"
"casual","Racine Ave & Fullerton Ave","3798"
"casual","Stetson Ave & South Water St","3771"
"casual","Wells St & Walton St","3757"
"casual","Milwaukee Ave & Wabansia Ave","3749"
"casual","Clarendon Ave & Junior Ter","3739"
"casual","Calumet Ave & 18th St","3687"
"casual","Bissell St & Armitage Ave*","3686"
"casual","Sheffield Ave & Kingsbury St","3662"
"casual","Honore St & Division St","3658"
"casual","Franklin St & Chicago Ave","3625"
"casual","Cannon Dr & Fullerton Ave","3621"
"casual","Burling St & Diversey Pkwy","3612"
"casual","Wabash Ave & Adams St","3591"
"casual","Clark St & Chicago Ave","3566"
"casual","State St & Harrison St","3535"
"casual","Woodlawn Ave & 55th St","3494"
"casual","Rush St & Hubbard St","3462"
"casual","Canal St & Monroe St","3452"
"casual","Clark St & Leland Ave","3440"
"casual","Aberdeen St & Randolph St","3437"
